epoch,dice_coefficient,loss,val_dice_coefficient,val_loss
0,0.39821210503578186,0.3004700839519501,0.2281973958015442,0.3839778006076813
1,0.5676788687705994,0.14338180422782898,0.3781508207321167,0.20737123489379883
2,0.6735215783119202,0.08846168220043182,0.6996432542800903,0.07101278007030487
3,0.7315829992294312,0.06574460864067078,0.7395849227905273,0.06303156167268753
4,0.7770905494689941,0.05175451189279556,0.7781350016593933,0.0642060711979866
5,0.8060993552207947,0.04376308619976044,0.8041505813598633,0.06020151451230049
6,0.8298381567001343,0.038189467042684555,0.7989642024040222,0.06457693874835968
7,0.8416718244552612,0.0343669168651104,0.8281378746032715,0.05896604061126709
8,0.8559239506721497,0.03159036114811897,0.838503360748291,0.05809761956334114
9,0.8699224591255188,0.0298147052526474,0.8292141556739807,0.06446586549282074
10,0.8810870051383972,0.027517620474100113,0.8335800766944885,0.05697299540042877
11,0.8843590021133423,0.02611381746828556,0.8465709090232849,0.058164775371551514
12,0.8922015428543091,0.02466367557644844,0.844537615776062,0.056587714701890945
13,0.894273042678833,0.024637173861265182,0.8488351702690125,0.05644826591014862
14,0.9000152349472046,0.02387922815978527,0.8457406163215637,0.058030564337968826
15,0.9052788019180298,0.022480206564068794,0.8532252907752991,0.0589909702539444
16,0.9095784425735474,0.022491473704576492,0.8541371822357178,0.059800196439027786
17,0.9103047847747803,0.021439943462610245,0.8572441935539246,0.055982209742069244
18,0.9098953008651733,0.021231872960925102,0.8556928634643555,0.06102260947227478
19,0.9152072668075562,0.02087041363120079,0.8480621576309204,0.06013646721839905
20,0.9153677225112915,0.020421816036105156,0.8626317977905273,0.06185804307460785
21,0.9180009365081787,0.020076775923371315,0.855804979801178,0.06484165787696838
22,0.9209833145141602,0.019258037209510803,0.8576390743255615,0.06143248826265335
23,0.9223118424415588,0.019322311505675316,0.8529317378997803,0.07500492036342621
24,0.9212144017219543,0.019315872341394424,0.8511340618133545,0.061619654297828674
25,0.9240067601203918,0.019047681242227554,0.8495463728904724,0.06264247000217438
26,0.9214651584625244,0.018898023292422295,0.8557323217391968,0.06995245814323425
27,0.9211924076080322,0.01847614347934723,0.8554814457893372,0.06781211495399475
28,0.9271599054336548,0.01843187026679516,0.8574872612953186,0.06737048178911209
29,0.9277893304824829,0.018216002732515335,0.8600044250488281,0.07316961139440536
30,0.9268537759780884,0.01815885119140148,0.8635866641998291,0.05689248442649841
31,0.928901731967926,0.018168369308114052,0.8439136147499084,0.07224611192941666
32,0.930576503276825,0.018233997747302055,0.8660380244255066,0.06945434957742691
33,0.9296623468399048,0.01792438142001629,0.863527238368988,0.056480687111616135
34,0.9299668073654175,0.018030479550361633,0.8543640375137329,0.0665937140583992
35,0.9305052161216736,0.017392253503203392,0.8615794777870178,0.06002079322934151
36,0.9310467839241028,0.017414895817637444,0.869534969329834,0.05873950943350792
37,0.9324083924293518,0.016796914860606194,0.8534293174743652,0.0631125271320343
38,0.9318892359733582,0.01766560785472393,0.8564163446426392,0.07057535648345947
39,0.9338846206665039,0.017036771401762962,0.8659979701042175,0.05555887520313263
